jobName,vcName,name,uid,submitTime,startTime,endTime,state
SN1SRPUTLXI07_INC_PADMANR_GenerateWindowsStoreMHHourlyStream,SN1SRPUTLXI07,INC_PADMANR_GenerateWindowsStoreMHHourlyStream,e12b6dee-8b11-41e9-8139-b5ddf4a97a90,9/3/13 13:33,9/3/13 13:34,9/3/13 13:36,CompletedSuccess
SN1SRPUTLAI08_INT_Report_MHV22stats,SN1SRPUTLAI08,INT_Report_MHV22stats,9710fc33-83d6-48f6-9eaf-7cd37dd34fd5,9/3/13 13:44,9/3/13 13:45,9/3/13 13:46,CompletedSuccess
SN1SRPUTLAI11_INT_PullTheWebZip,SN1SRPUTLAI11,INT_PullTheWebZip,1ab19f8e-5007-4071-b948-92fac19b8145,9/3/13 13:44,9/3/13 13:46,9/3/13 14:09,CompletedSuccess
SN1SRPUTLAI07_INT_MH_RE_retry_VIEW,SN1SRPUTLAI07,INT_MH_RE_retry_VIEW,48dc66d7-15e9-4284-9923-809cbe32cb9b,9/3/13 13:48,9/3/13 13:49,9/3/13 13:50,CompletedSuccess
SN1SRPUTLXI05_EXP_MHViewErrors,SN1SRPUTLXI05,EXP_MHViewErrors,f1f2e665-39f2-490c-af50-c6e3cb187b7a,9/3/13 13:48,9/3/13 13:50,9/3/13 13:51,CompletedSuccess
SN1SRPUTLAI07_INT_Report_UrlBlock,SN1SRPUTLAI07,INT_Report_UrlBlock,5dc2ca2b-6824-417e-94c0-f3b4bc965211,9/3/13 13:48,9/3/13 13:49,9/3/13 13:50,CompletedSuccess
SN1SRPUTLXI07_INC_PADMANR_MuesMalware,SN1SRPUTLXI07,INC_PADMANR_MuesMalware,e3ce607a-5b88-4098-b1cf-9ff4b9aa5f75,9/3/13 13:50,9/3/13 13:53,9/3/13 13:53,CompletedFailure
SN1SRPUTLXI05_EXP_FSSEventLogsReports,SN1SRPUTLXI05,EXP_FSSEventLogsReports,298bd680-c163-42b8-a77a-06664bcf2b74,9/3/13 13:54,9/3/13 13:55,9/3/13 14:02,CompletedSuccess
SN1SRPUTLJI01_WWATelemetryV5Summarization,SN1SRPUTLJI01,WWATelemetryV5Summarization,e9af999f-13f0-4767-a848-ca0aecb10b65,9/3/13 13:55,9/3/13 13:56,9/3/13 14:47,CompletedSuccess
SN1SRPUTLXI06_EXP_TelemetryViewV5Errors,SN1SRPUTLXI06,EXP_TelemetryViewV5Errors,a40ff98a-4074-4fdf-a673-002c07489455,9/3/13 13:56,9/3/13 13:57,9/3/13 14:00,CompletedSuccess
SN1SRPUTLAI06_ScomDataForFeaturization,SN1SRPUTLAI06,ScomDataForFeaturization,d2307d74-9f5b-4ea8-9f12-795e9e3ca40b,9/3/13 13:57,9/3/13 14:00,9/3/13 14:03,CompletedSuccess
SN1SRPUTLAI07_INT_Report_BPL_Prod,SN1SRPUTLAI07,INT_Report_BPL_Prod,1bc367ff-283e-490b-881b-01509da31fd9,9/3/13 13:57,9/3/13 14:02,9/3/13 14:03,CompletedSuccess
SN1SRPUTLXI06_GILInputTest,SN1SRPUTLXI06,GILInputTest,e72624fc-22af-4c63-9d2c-62e40c7f4b1d,9/3/13 14:00,9/3/13 14:03,9/3/13 14:14,CompletedSuccess
SN1SRPUTLXI06_EXP_UrsViewV5Errors,SN1SRPUTLXI06,EXP_UrsViewV5Errors,88ad001c-3e45-45a4-8184-30b3bcd32e8b,9/3/13 14:02,9/3/13 14:03,9/3/13 14:05,CompletedSuccess
SN1SRPUTLXI07_INC_PADMANR_DeletesV2,SN1SRPUTLXI07,INC_PADMANR_DeletesV2,78b4c757-5485-4444-9b96-1cd5a87468aa,9/3/13 14:11,9/3/13 14:13,9/3/13 14:57,CompletedSuccess
CO1SRPUTLDI05_RAPUrlExtractor,CO1SRPUTLDI05,RAPUrlExtractor,aff809ea-102c-47fb-be88-653cdd20dc3b,9/3/13 14:12,9/3/13 14:13,9/3/13 14:21,CompletedSuccess
SN1SRPUTLAI07_INT_Report_TopTraffic,SN1SRPUTLAI07,INT_Report_TopTraffic,66eafb82-18cc-4e23-af41-446bfb318ef2,9/3/13 14:13,9/3/13 14:14,9/3/13 14:15,CompletedSuccess
SN1SRPUTLAI06_Report_MHV21stats,SN1SRPUTLAI06,Report_MHV21stats,dbf2ca5b-a20b-4827-ad80-9b34b24411d8,9/3/13 14:18,9/3/13 14:19,9/3/13 14:22,CompletedSuccess
SN1SRPUTLAI07_INT_Report_UrlBlock,SN1SRPUTLAI07,INT_Report_UrlBlock,0f354517-af66-47f8-ab0c-d41cae65dc8d,9/3/13 14:19,9/3/13 14:20,9/3/13 14:21,CompletedSuccess
SN1SRPUTLAI08_ScomDataForFeaturization,SN1SRPUTLAI08,ScomDataForFeaturization,e87a46cb-a926-4ec0-8123-0c76e90a7655,9/3/13 14:27,9/3/13 14:27,9/3/13 14:32,CompletedSuccess
MWUrlModel_Hourly2,,WUrlModel_Hourly2,3d744a84-f753-40ba-9ca0-095ab6f4d5e4,9/3/13 14:27,9/3/13 14:36,9/3/13 17:48,CompletedSuccess
CO1SRPUTLDI04_JMRUrlExtractor,CO1SRPUTLDI04,JMRUrlExtractor,1e9463a2-190e-4b9c-bbf7-cf325c4ea1b4,9/3/13 14:31,9/3/13 14:33,9/3/13 14:56,CompletedSuccess
