name	vcName	jobName	uid	submitTime	startTime	endTime	state
SN1SRPUTLAI08_INT_Report_UrlBlock	SN1SRPUTLAI08	INT_Report_UrlBlock	52e9c975-4d25-4c2d-b56c-a2f4c6b5ae4f	9/9/13 1:42	9/9/13 1:42	9/9/13 1:43	CompletedSuccess
SN1SRPUTLXI05_EXP_MHViewErrors	SN1SRPUTLXI05	EXP_MHViewErrors	691fc783-8129-4bd7-87fe-666be16de953	9/9/13 1:43	9/9/13 1:44	9/9/13 1:46	CompletedSuccess
CO1SRPUTLDI05_RAPUrlExtractor	CO1SRPUTLDI05	RAPUrlExtractor	89000269-aeaf-46a6-8907-ababc9109d90	9/9/13 1:45	9/9/13 1:46	9/9/13 1:49	CompletedSuccess
SN1SRPUTLXI07_INC_PADMANR_MuesMalware	SN1SRPUTLXI07	INC_PADMANR_MuesMalware	2f3cc3f6-99f5-489f-a898-71fa552bc3cd	9/9/13 1:48	9/9/13 1:50	9/9/13 2:05	CompletedFailure
SN1SRPUTLAI08_ScomDataForFeaturization	SN1SRPUTLAI08	ScomDataForFeaturization	09be360c-fb74-4e0c-a087-f07377a08251	9/9/13 1:54	9/9/13 1:55	9/9/13 1:58	CompletedSuccess
SN1SRPUTLAI11_Report_MHV21stats	SN1SRPUTLAI11	Report_MHV21stats	8bedd72e-ffad-442a-b80c-a3673b6b9c33	9/9/13 1:56	9/9/13 1:58	9/9/13 2:00	CompletedSuccess
SN1SRPUTLXI06_EXP_TelemetryViewV5Errors	SN1SRPUTLXI06	EXP_TelemetryViewV5Errors	3a8529cf-49ce-404e-b3ac-267c6868a5bc	9/9/13 2:00	9/9/13 2:01	9/9/13 2:04	CompletedSuccess
SN1SRPUTLAI11_Featurizer_CanonicalUrl_Infrastructure_Type_ChangeRate	SN1SRPUTLAI11	Featurizer_CanonicalUrl_Infrastructure_Type_ChangeRate	2b2fca13-e775-4e38-b58b-006fc8b8a2bb	9/9/13 2:01	9/9/13 2:02	9/9/13 3:31	CompletedSuccess
SN1SRPUTLAI08_MalwareUrlBlockRelated	SN1SRPUTLAI08	MalwareUrlBlockRelated	6e57021d-8fe6-4686-a1bc-528f567d05db	9/9/13 2:01	9/9/13 2:01	9/9/13 2:13	CompletedSuccess
SN1SRPUTLAI07_INT_Report_BPL_Prod	SN1SRPUTLAI07	INT_Report_BPL_Prod	71e65482-b0f6-40b2-ad2c-9395c34bfd90	9/9/13 2:06	9/9/13 2:07	9/9/13 2:09	CompletedSuccess
SN1SRPUTLAI08_INT_PullTheWebZip	SN1SRPUTLAI08	INT_PullTheWebZip	7b005f23-f6b1-4ff7-a417-bd4b41b9e02e	9/9/13 2:09	9/9/13 2:11	9/9/13 2:50	CompletedSuccess
SN1SRPUTLXI07_INC_PADMANR_GenerateWindowsStoreMHHourlyStream	SN1SRPUTLXI07	INC_PADMANR_GenerateWindowsStoreMHHourlyStream	5a954bce-8e8f-449a-97fe-7dfc7f6b2bd5	9/9/13 2:11	9/9/13 2:12	9/9/13 2:14	CompletedSuccess
SN1SRPUTLAI08_INT_Report_UrlBlock	SN1SRPUTLAI08	INT_Report_UrlBlock	065cf9f0-e038-4825-8c83-d47583458926	9/9/13 2:13	9/9/13 2:13	9/9/13 2:15	CompletedSuccess
SN1SRPUTLJI01_WWATelemetryV5Summarization	SN1SRPUTLJI01	WWATelemetryV5Summarization	6fe48d82-1d14-48a5-9a3c-cad76a122b7b	9/9/13 2:16	9/9/13 2:17	9/9/13 3:12	CompletedSuccess
SN1SRPUTLAI08_INT_Report_MHV22stats	SN1SRPUTLAI08	INT_Report_MHV22stats	4a504bda-b274-4292-8fe2-067b87d54905	9/9/13 2:20	9/9/13 2:21	9/9/13 2:23	CompletedSuccess
SN1SRPUTLAI09_ScomDataForFeaturization	SN1SRPUTLAI09	ScomDataForFeaturization	958b9137-c9d1-4e10-90c4-ca6ec5858d6b	9/9/13 2:24	9/9/13 2:25	9/9/13 2:29	CompletedSuccess
MWUrlModel_Hourly2		WUrlModel_Hourly2	5a5c7a17-2056-4b57-91c0-0f8d81639d8c	9/9/13 2:27	9/9/13 2:36	9/9/13 3:57	CompletedSuccess
CO1SRPUTLDI05_RAPUrlExtractor	CO1SRPUTLDI05	RAPUrlExtractor	51f1caf9-3dc2-4358-8988-f68cea89956e	9/9/13 2:28	9/9/13 2:29	9/9/13 2:33	CompletedSuccess
SN1SRPUTLXI06_EXP_UrsViewV5Errors	SN1SRPUTLXI06	EXP_UrsViewV5Errors	530e59ec-0fcb-473f-bfe0-e5772069906d	9/9/13 2:30	9/9/13 2:31	9/9/13 2:32	CompletedSuccess
SN1SRPUTLAI06_MalwareUrlBlockRelated	SN1SRPUTLAI06	MalwareUrlBlockRelated	bd504b59-2393-4cd7-bb7d-2eb2ca8e00b3	9/9/13 2:31	9/9/13 2:31	9/9/13 2:39	CompletedSuccess
